combo_id,rr_ratio,sl_atr_multiplier,breakeven_r,atr_vol_filter,require_daily_momentum,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
9c9638f59171,1.5,1.0,0.0,1.0,True,155,0.4258,0.0479,0.5,0.5037,50K,pct_balance,0.2,0.6,0.347,12.29
90e6241cf8bc,1.5,1.0,0.5,0.0,False,368,0.4647,0.1547,0.5,10.3515,50K,fixed_dollar,0.2,0.6,0.565,12.54
61f47ca8c2c4,1.5,1.0,0.5,0.0,True,164,0.4329,0.0706,0.5,2.7115,50K,fixed_dollar,0.4,0.6,0.348,12.61
c12597c96397,1.5,1.0,0.5,1.0,False,347,0.464,0.151,0.5,9.2278,50K,fixed_dollar,0.4,0.6,0.423,12.65
cbd9a1b2be82,1.5,1.0,0.5,1.0,True,155,0.4258,0.0479,0.5,0.5037,50K,pct_balance,0.2,0.6,0.347,12.68
516ea54fc768,1.5,1.0,1.0,0.0,False,368,0.4647,0.1547,0.5,10.3515,50K,fixed_dollar,0.2,0.6,0.565,12.54
6716153a281a,1.5,1.0,1.0,0.0,True,164,0.4329,0.0706,0.5,2.7115,50K,fixed_dollar,0.4,0.6,0.348,12.69
a239b8a490ce,1.5,1.0,1.0,1.0,False,347,0.464,0.151,0.5,9.2278,50K,fixed_dollar,0.4,0.6,0.423,12.58
7129b2f39d11,1.5,1.0,1.0,1.0,True,155,0.4258,0.0479,0.5,0.5037,50K,pct_balance,0.2,0.6,0.347,12.8
8166a8969b39,1.5,1.25,0.0,0.0,False,363,0.4628,0.1484,0.5,8.5645,50K,fixed_dollar,0.4,0.6,0.403,12.53
d24528ccc3ed,1.5,1.25,0.0,0.0,True,163,0.454,0.1192,0.5,5.1537,50K,fixed_dollar,0.2,0.6,0.475,12.58
07c9ba0b8b46,1.5,1.25,0.0,1.0,False,343,0.4636,0.1494,0.5,7.8719,50K,pct_balance,0.2,0.6,0.562,12.9
a6f23bd9aee7,1.5,1.25,0.0,1.0,True,154,0.4481,0.0983,0.5,3.1326,50K,fixed_dollar,0.2,0.6,0.431,12.01
0e06df6c9b11,1.5,1.25,0.5,0.0,False,363,0.4628,0.1484,0.5,8.5645,50K,fixed_dollar,0.4,0.6,0.403,12.21
212605151a65,1.5,1.25,0.5,0.0,True,163,0.454,0.1192,0.5,5.1537,50K,fixed_dollar,0.2,0.6,0.475,12.07
0c2a2a10929c,1.5,1.25,0.5,1.0,False,343,0.4636,0.1494,0.5,7.8719,50K,pct_balance,0.2,0.6,0.562,12.05
a727f898ad42,1.5,1.25,0.5,1.0,True,154,0.4481,0.0983,0.5,3.1326,50K,fixed_dollar,0.2,0.6,0.431,12.39
f40a9d2f8728,1.5,1.25,1.0,0.0,False,363,0.4628,0.1484,0.5,8.5645,50K,fixed_dollar,0.4,0.6,0.403,12.04
